run,pixel,Bias Voltage,Proton,Proton Energy,Cd109,Sn113,Date Time [UTC],trap rise,trap length,trap decay,ecap,chi2_e,xray,chi2_x,CE,Xray,CE hist,Xray hist
1407,76,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[134.1981598100013, 94.65502179941896, 6.699981004516498, 35.43464511869456, -71.1186001256429, 0.9541869496611781, 77.35006121758593], [171.91274135714713, 132.93037349241908, 7.4303734656662845, -13.794771636326509, 103.26960024845383, -0.6564440740830589, -88.18842859878158]]","[39.66685311671067, 55.591995133310405]","[ 9.21962452e+03  0.00000000e+00  6.24722694e+00  3.27091146e+02
  3.64437765e+01  5.93857359e+00  2.07631443e+06 -2.07613553e+06
 -7.54238422e+00  9.15418907e-02]",8361.048986814445,"[1, 2]",3,"[[31, 36, 38, 45, 47, 43, 52, 45, 40, 56, 71, 79, 91, 93, 114, 118, 142, 164, 162, 169, 161, 150, 158, 135, 120, 86, 63, 42, 43, 35, 19, 15, 11, 14], [24, 27, 27, 50, 56, 70, 85, 99, 112, 129, 140, 182, 171, 182, 188, 166, 174, 154, 137, 98, 77, 64, 31, 31, 22, 18, 5, 4, 1, 2, 2, 2, 1, 0, 2, 1, 2, 0, 1]]","[4149 3594 2487 1488  757  475  418  373  318  226  163   74   53   41
   35   37   39   42   54   58   60   68   74   91  134  158  216  246
  281  330  368  363  392  412  339  273  229  192  163  119   88   85
   57   38   48   28   51   44   45   43   52   44   47   33]"
1407,77,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[148.88548242969694, 95.09113516399056, 6.928551517043505, 28.163255123995356, -28.906547015470654, 0.5646420172153123, 39.52811541464339], [170.23844952721734, 133.67763898824552, 6.1776366740430415, 1.2066303296797445, 30.33152006917561, -0.07331468714378353, -11.576638528768353]]","[115.64860916906852, 52.03858201176579]","[ 9.19142836e+03  0.00000000e+00  6.25010383e+00  3.03667859e+02
  3.61344978e+01  5.30628303e+00 -6.08838467e+06  6.08831095e+06
  7.60132168e+00 -1.02332819e-01]",6628.59257074642,"[1, 2]",3,"[[45, 46, 40, 44, 58, 30, 52, 38, 37, 82, 82, 79, 90, 101, 97, 129, 122, 151, 168, 193, 170, 177, 165, 126, 128, 110, 91, 59, 37, 33, 29, 18, 10, 11], [26, 28, 26, 32, 45, 53, 55, 96, 94, 118, 122, 165, 177, 191, 208, 181, 154, 169, 134, 118, 86, 71, 48, 33, 20, 16, 7, 8, 2, 4, 1, 1, 2, 0, 7, 1, 3, 0, 1]]","[3984 3349 2402 1325  707  349  265  233  182  120   96   51   33   37
   28   32   38   51   51   58   64   63   62   88  138  173  215  301
  286  328  383  383  389  391  351  287  237  177  129  102   84   81
   71   47   45   39   59   34   41   47   40   45   27   36]"
1407,78,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[139.8247028927015, 95.00802807252578, 7.297691116882336, 9.91355336757898, 33.34274542703794, -0.1485355894564794, -17.305228573577207], [164.05976966685057, 133.75264570788332, 7.151988300393909, -15.92359899013197, 109.83716421187425, -0.6602009005453656, -86.033477188776]]","[97.58551915937599, 36.33873248259159]","[ 2.81976478e+03  0.00000000e+00  6.12920220e+00  3.02935725e+02
  3.66540765e+01  6.78402604e+00  5.79104102e+05 -5.78916497e+05
 -9.29425111e+00  1.18255396e-01]",1195.6412743626518,"[1, 2]",3,"[[31, 33, 37, 36, 26, 38, 37, 44, 41, 39, 56, 63, 81, 87, 87, 110, 124, 100, 151, 148, 161, 150, 125, 127, 92, 99, 62, 70, 41, 32, 23, 19, 10, 15], [23, 34, 13, 34, 43, 53, 73, 71, 93, 101, 117, 145, 163, 171, 169, 164, 160, 157, 136, 113, 76, 71, 45, 27, 23, 13, 17, 5, 3, 2, 2, 0, 2, 0, 2, 1, 2, 0, 1]]","[1334 1134  832  487  295  176  172  179  175  144   94   66   27   35
   23   18   33   43   48   53   54   61   90  102  135  140  181  224
  244  329  307  336  324  391  306  284  265  187  154  118  105   89
   59   59   35   41   36   29   33   42   43   43   38   39]"
1407,87,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[98.84530163198986, 95.10153272691464, 6.655242535815409, 33.18623664132768, -49.05069691894872, 0.6013524869636032, 41.55057744134559], [133.5549455636162, 132.9674792341436, 7.997452975664068, -13.343925021994435, 93.91194295559285, -0.639503801592753, -85.9997137297867]]","[57.46381407889671, 138.84262362170665]","[ 8.44247876e+03  0.00000000e+00  5.74915264e+00  4.19545726e+02
  3.68766558e+01  8.83955352e+00  1.84892341e+06 -1.84810835e+06
 -5.07581100e+01  6.57099962e-01]",12036.351129023644,"[1, 2]",3,"[[31, 29, 35, 32, 29, 36, 35, 36, 44, 39, 38, 47, 76, 83, 87, 92, 97, 114, 116, 127, 143, 128, 132, 107, 89, 77, 70, 42, 45, 20, 13, 10, 21, 9], [19, 26, 34, 34, 32, 43, 65, 84, 75, 112, 151, 124, 121, 129, 143, 120, 164, 131, 91, 75, 73, 46, 42, 30, 20, 9, 18, 5, 4, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]]","[3712 3246 2160 1173  617  540  587  579  469  324  191  109   50   27
   36   23   33   33   31   35   48   53   55   70   96  128  159  228
  245  284  336  334  336  318  290  257  224  175  125  117   72   64
   49   42   40   54   34   45   34   38   30   21   26   38]"
1407,88,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[104.43049894712844, 95.36938470277578, 5.663128674141104, 43.289030984764366, -82.95105773037363, 0.9747081928556108, 82.95622328388879], [160.92660686427627, 133.74766031408984, 7.036692868438998, -15.412767957634893, 97.7897919349888, -0.561115020517555, -71.11389669494555]]","[131.55227598452993, 53.686361751979845]","[ 1.09948268e+04  0.00000000e+00  5.96556181e+00  2.85439705e+02
  3.66578582e+01  4.79142054e+00  7.96908676e+05 -7.97065170e+05
  1.21174451e+01 -1.58661068e-01]",6216.719348326082,"[1, 2]",3,"[[28, 33, 45, 40, 39, 38, 43, 37, 47, 54, 52, 67, 60, 66, 56, 93, 125, 124, 143, 143, 149, 126, 142, 128, 95, 73, 71, 54, 64, 21, 16, 12, 21, 15], [22, 23, 32, 31, 30, 61, 66, 57, 78, 108, 135, 123, 179, 160, 163, 162, 151, 151, 122, 114, 80, 71, 44, 27, 16, 13, 12, 8, 4, 2, 3, 2, 1, 1, 1, 1, 1, 0, 0]]","[4386 3583 2363 1256  630  291  186  138  108   81   58   37   27   22
   23   28   40   47   38   36   45   58   57   79   93  119  167  223
  265  299  335  364  398  356  328  308  222  196  135  103   89   79
   53   49   40   32   43   33   43   31   32   42   34   41]"
1407,96,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[69.35616185990789, 94.6127202079695, 6.8872819269479155, 19.710564387237678, -10.996770837338522, 0.19457223862385614, 8.804019482094992], [88.0217043271382, 133.04248151006183, 5.941856544462817, 2.0378191303713846, 10.12628773570294, -0.004003200858575907, -1.52791219304906]]","[39.338886330194505, 54.055665331129035]","[ 5.45129892e+03  0.00000000e+00  5.94294756e+00  1.96047622e+02
  3.64987623e+01  4.19934919e+00 -2.71666404e+04  2.69934465e+04
  1.25564720e+01 -1.65544240e-01]",7282.508114452499,"[1, 2]",3,"[[27, 27, 16, 23, 28, 27, 29, 33, 29, 31, 40, 40, 43, 59, 58, 76, 72, 76, 82, 96, 80, 98, 82, 55, 65, 46, 43, 27, 24, 18, 14, 8, 6, 7], [20, 15, 13, 16, 25, 29, 33, 49, 67, 62, 65, 82, 95, 119, 95, 85, 100, 65, 70, 45, 30, 28, 10, 18, 10, 8, 6, 3, 1, 0, 2, 2, 1, 1, 3, 1, 0, 0, 0]]","[2671 2586 1703  955  466  203   91   66   54   40   49   24   20   26
   26   23   33   35   34   42   34   18   42   32   44   63   78  123
  145  188  209  247  260  267  271  221  168  149  138   78   58   71
   47   33   29   19   18   33   22   21   24   26   21   33   23]"
1407,97,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[90.72951331558266, 93.5309399420517, 6.363135061689342, 18.625467985611547, 36.905313310249106, -0.3343115185917726, -41.925602000791976], [111.31634568543059, 131.7243087648793, 6.224306049085579, -2.488277300390131, 43.5014465337862, -0.21651263969752735, -30.294763564142343]]","[55.246725654770266, 38.39523338148972]","[ 7.89257772e+03  0.00000000e+00  5.98757023e+00  2.14531657e+02
  3.59739149e+01  3.95303780e+00 -3.02190842e+04  2.99398362e+04
  1.89273828e+01 -2.46322580e-01]",12425.427647226341,"[1, 2]",3,"[[25, 37, 29, 30, 30, 30, 38, 39, 33, 31, 46, 48, 57, 57, 101, 81, 104, 104, 112, 93, 104, 101, 78, 70, 46, 37, 36, 26, 18, 17, 16, 11, 7, 13], [17, 20, 33, 41, 31, 60, 59, 71, 89, 92, 103, 139, 126, 117, 100, 112, 84, 71, 51, 46, 26, 24, 10, 10, 4, 4, 2, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 2, 1]]","[3939 3594 2620 1391  664  318  121   80   53   42   37   23   14   18
   18   26   32   42   29   34   33   46   43   40   46   65  103  142
  191  215  275  282  308  286  280  224  195  139  126   98   59   65
   38   46   37   25   30   33   34   20   28   26   24   38   24]"
1407,98,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[-2.5990463888476613e-26, 2.8278029742974324e-28, 1.0], [-2.113083619624944e-25, 1.5462786929839687e-27, 1.0]]","[8.442137843097756e-54, 3.490449429456804e-52]","[ 1.93760000e+04  0.00000000e+00  0.00000000e+00 -5.77142283e+05
  5.79972754e+05 -1.89735934e+02  2.66482069e+00]",6062173.296957959,"[0, 0]",0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[19176     6     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0]"
1407,101,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[41.57331388684717, 93.71723140136721, 5.9230511604175655, 40.45897379337415, -132.92716226689365, 1.519325897693715, 133.87779101143477], [76.0552576516695, 132.58668491626383, 7.086683837223715, 3.7569380299284427, -8.860771091147132, 0.16149607872883837, 21.44454669889187]]","[38.999334475865865, 29.643483547862306]","[ 3.21974639e+03  0.00000000e+00 -8.58711955e+00  1.82973820e+02
  3.62420396e+01  6.05120653e+00 -6.21038292e+05  6.21016148e+05
  2.57218860e+00 -3.16792121e-02]",166.238010745404,"[1, 2]",3,"[[16, 30, 33, 21, 29, 25, 37, 40, 33, 37, 39, 52, 53, 63, 68, 68, 79, 71, 87, 76, 86, 74, 59, 70, 48, 29, 37, 21, 19, 17, 9, 24, 6, 7], [27, 25, 15, 25, 41, 42, 46, 63, 47, 73, 83, 76, 98, 92, 91, 78, 76, 70, 67, 48, 41, 30, 25, 15, 13, 12, 5, 3, 2, 5, 2, 0, 0, 1, 0, 0, 0, 1, 0]]","[258 224 155  82  41  41  15  25  27  22  26  44  49  40  59  58  73 114
 121 169 167 212 218 233 221 245 192 186 143 133 105  68  56  53  36  47
  35  31  25  20  29  24  23  27  21  26]"
1407,103,-300,False,0,True,False,2022-02-04 19:16,1250,50,1250,"[[27.845833927933253, 92.14084201642765, 9.35915730708873, 15.024713175506985, 2.866851441765344, -0.0023372968471916614, -9.285905695987653], [48.60832074159369, 130.75104037988186, 6.251038051007242, 5.7778017210022, 13.771841811419081, -0.036454240497226086, -10.26345883581269]]","[27.21999570541429, 35.260967242653855]","[ 4.18759857e+03  0.00000000e+00 -8.44996194e+00  1.29474046e+02
  3.62772014e+01  6.50182468e+00  6.23321288e+05 -6.23307779e+05
  1.27269414e-02  1.73650340e-04]",191.2904762533541,"[1, 2]",3,"[[20, 23, 19, 21, 18, 23, 21, 33, 24, 29, 31, 42, 42, 37, 32, 36, 41, 45, 47, 39, 42, 34, 47, 19, 33, 26, 15, 16, 14, 8, 8, 12, 4, 10], [23, 19, 27, 23, 32, 33, 28, 50, 59, 57, 63, 54, 44, 66, 63, 30, 43, 37, 21, 19, 12, 12, 9, 5, 3, 0, 3, 1, 0, 3, 0, 0, 1, 1, 1, 1, 1, 1, 0]]","[315 273 184  83  51  28  20  32  29  28  30  28  32  23  34  43  70  66
  96 114 128 139 135 175 148 166 132 122 119 100  63  58  40  30  22  20
  29  18  12  14  20  19  14  11  23  17]"
